collect_id,school_id,gateway,order_amount,transaction_amount,status,custom_order_id,bank_reference
C1001,SCH001,PhonePe,2000,2200,Success,ORD1234,YESBNK222
C1002,SCH002,GPay,1500,1500,Pending,ORD1235,HDFCBANK123
C1003,SCH019,GPay,1751,1951,Failed,ORD1237,ICICIBANK468
C1004,SCH019,AmazonPay,3277,3327,Success,ORD1238,ICICIBANK138
C1005,SCH016,Paytm,3026,3076,Success,ORD1239,AXISBANK760
C1006,SCH019,AmazonPay,2497,2547,Failed,ORD1240,SBIN772
C1007,SCH012,Paytm,4711,4711,Success,ORD1241,ICICIBANK965
C1008,SCH012,Paytm,2691,2791,Success,ORD1242,ICICIBANK171
C1009,SCH002,Paytm,3757,3957,Success,ORD1243,HDFCBANK234
C1010,SCH005,PhonePe,2820,2820,Failed,ORD1244,HDFCBANK355
C1011,SCH013,GPay,4842,4842,Failed,ORD1245,SBIN547
C1012,SCH005,PhonePe,3197,3247,Pending,ORD1246,HDFCBANK780
C1013,SCH006,GPay,4130,4130,Success,ORD1247,YESBNK640
C1014,SCH006,Paytm,3258,3358,Failed,ORD1248,SBIN275
C1015,SCH017,GPay,1326,1326,Pending,ORD1249,SBIN261
C1016,SCH012,PhonePe,3929,4029,Success,ORD1250,YESBNK510
C1017,SCH007,PhonePe,4800,4800,Pending,ORD1251,SBIN311
C1018,SCH006,PhonePe,3316,3366,Pending,ORD1252,AXISBANK476
C1019,SCH008,PhonePe,1906,1906,Failed,ORD1253,AXISBANK363
C1020,SCH020,GPay,2458,2508,Failed,ORD1254,YESBNK695
C1021,SCH020,Paytm,1479,1579,Pending,ORD1255,ICICIBANK442
C1022,SCH001,AmazonPay,4045,4045,Pending,ORD1256,HDFCBANK917
C1023,SCH007,PhonePe,1697,1797,Success,ORD1257,AXISBANK131
C1024,SCH017,PhonePe,4076,4176,Success,ORD1258,YESBNK581
C1025,SCH002,Paytm,2676,2676,Pending,ORD1259,SBIN568
C1026,SCH020,AmazonPay,3422,3522,Failed,ORD1260,AXISBANK962
C1027,SCH004,AmazonPay,1651,1701,Failed,ORD1261,ICICIBANK697
C1028,SCH002,AmazonPay,4340,4390,Failed,ORD1262,YESBNK266
C1029,SCH013,GPay,2907,3007,Pending,ORD1263,YESBNK758
C1030,SCH012,AmazonPay,4222,4322,Success,ORD1264,SBIN532
C1031,SCH009,AmazonPay,2837,2837,Failed,ORD1265,ICICIBANK542
C1032,SCH010,AmazonPay,1701,1751,Failed,ORD1266,AXISBANK165
C1033,SCH020,AmazonPay,4863,4963,Success,ORD1267,YESBNK817
C1034,SCH002,GPay,1632,1832,Failed,ORD1268,HDFCBANK154
C1035,SCH008,GPay,1798,1898,Failed,ORD1269,YESBNK113
C1036,SCH011,PhonePe,4173,4173,Success,ORD1270,YESBNK896
C1037,SCH007,GPay,3867,4067,Pending,ORD1271,HDFCBANK330
C1038,SCH002,GPay,4620,4820,Success,ORD1272,AXISBANK325
C1039,SCH017,PhonePe,4983,5033,Success,ORD1273,YESBNK455
C1040,SCH017,GPay,3131,3331,Failed,ORD1274,AXISBANK582
C1041,SCH019,PhonePe,1611,1711,Success,ORD1275,YESBNK882
C1042,SCH005,AmazonPay,4337,4537,Failed,ORD1276,ICICIBANK434
C1043,SCH018,PhonePe,4654,4704,Failed,ORD1277,YESBNK359
C1044,SCH010,AmazonPay,4764,4964,Failed,ORD1278,SBIN957
C1045,SCH005,GPay,2671,2671,Success,ORD1279,SBIN882
C1046,SCH013,GPay,1186,1386,Pending,ORD1280,AXISBANK834
C1047,SCH003,GPay,4368,4468,Pending,ORD1281,HDFCBANK716
C1048,SCH007,PhonePe,3061,3061,Failed,ORD1282,ICICIBANK160
C1049,SCH001,Paytm,3250,3350,Failed,ORD1283,SBIN879
C1050,SCH006,Paytm,2427,2527,Pending,ORD1284,HDFCBANK142
